Year,Unnamed: 0,age,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,selection
1983,5825.5,26.06687898089172,60.939490445859875,29.56687898089172,21.116560509554137,3.7175159235668773,7.730891719745219,0.46587898089171936,0.04458598726114646,0.19872611464968187,0.11726751592356696,3.672292993630571,7.5318471337579584,0.4716783439490444,0.46887261146496817,1.8089171974522287,2.455095541401273,0.7016974522292997,1.2939490445859871,2.55732484076433,3.850955414012736,2.2474522292993626,0.7707006369426749,0.4808917197452225,1.6484076433121009,2.31656050955414,9.285350318471332,10.006369426751592
1984,6137.0,26.132686084142396,62.95145631067961,30.25242718446602,20.74660194174759,3.6394822006472474,7.4595469255663405,0.47335275080906175,0.049190938511326825,0.2093851132686087,0.13843042071197412,3.58640776699029,7.24692556634304,0.479938511326861,0.4766860841423948,1.899352750809061,2.5268608414239475,0.7162880258899678,1.2148867313915852,2.446925566343042,3.662783171521037,2.2388349514563086,0.7343042071197415,0.447249190938511,1.5271844660194172,2.2889967637540476,9.230420711974116,11.906148867313917
1985,6450.0,26.230283911671926,60.3186119873817,29.470031545741325,21.08422712933756,3.704731861198738,7.648264984227134,0.4637255520504733,0.07255520504731867,0.27192429022082004,0.13308832807570983,3.6312302839116715,7.373817034700315,0.47199053627760246,0.46787697160883257,1.9192429022082018,2.536908517350157,0.7249432176656155,1.2397476340694,2.5018927444794943,3.737854889589908,2.2817034700315464,0.7482649842271287,0.44858044164037814,1.5630914826498417,2.229652996845426,9.404731861198739,14.037854889589905
1986,6769.5,26.38198757763975,59.91614906832298,29.20186335403727,20.98322981366461,3.7021739130434757,7.6944099378881985,0.4625372670807457,0.07639751552795039,0.2909937888198756,0.13940372670807455,3.6226708074534155,7.39875776397515,0.46999689440993814,0.46769875776397546,1.9850931677018646,2.657142857142857,0.7085714285714283,1.2316770186335393,2.548136645962733,3.780745341614907,2.219254658385092,0.7692546583850939,0.4527950310559003,1.549999999999999,2.281677018633543,9.468322981366457,15.124223602484472
1987,7097.5,26.362275449101798,57.41616766467066,28.143712574850298,20.75838323353293,3.5766467065868266,7.564371257485031,0.45718562874251484,0.11437125748503006,0.39820359281437084,0.1408353293413174,3.4607784431137736,7.165568862275445,0.469748502994012,0.4641497005988027,1.9488023952095794,2.5835329341317377,0.7172814371257485,1.2637724550898204,2.4655688622754495,3.72994011976048,2.201197604790418,0.7419161676646707,0.4556886227544903,1.471856287425149,2.1901197604790417,9.213772455089819,16.577844311377245
1988,7430.0,26.598187311178247,58.012084592145015,28.48942598187311,20.802416918429003,3.5525679758308146,7.489728096676737,0.45526888217522665,0.12990936555891258,0.4308157099697881,0.155655589123867,3.4199395770392735,7.058006042296073,0.46522356495468253,0.46354984894259843,1.8921450151057404,2.4954682779456205,0.7305468277945619,1.2141993957703938,2.453474320241692,3.668277945619336,2.1758308157099684,0.7410876132930515,0.45438066465256705,1.446827794561934,2.1495468277945635,9.125679758308152,18.764350453172206
1989,7771.5,26.62784090909091,59.63920454545455,29.119318181818183,20.548011363636355,3.5392045454545458,7.502840909090901,0.4489318181818181,0.16732954545454565,0.54090909090909,0.16926988636363646,3.3696022727272705,6.96164772727273,0.4598778409090912,0.4594857954545457,1.8446022727272726,2.4207386363636365,0.7146022727272728,1.2272727272727277,2.4877840909090887,3.716477272727273,2.160795454545454,0.7732954545454547,0.4434659090909085,1.451988636363637,2.0707386363636364,9.09829545454545,19.349431818181817
1990,8137.5,26.74736842105263,59.02894736842105,29.13157894736842,20.60684210526317,3.4663157894736836,7.383157894736844,0.4473473684210528,0.17657894736842122,0.5576315789473679,0.18475526315789484,3.2886842105263177,6.823684210526315,0.4586105263157896,0.45809473684210533,1.835000000000001,2.4181578947368414,0.7156315789473686,1.1850000000000005,2.4726315789473676,3.6589473684210523,2.096052631578948,0.727105263157894,0.422368421052631,1.3502631578947375,2.0576315789473685,8.950789473684203,19.4
1991,8520.5,26.821243523316063,58.40155440414508,28.678756476683937,20.81554404145077,3.495595854922279,7.453108808290156,0.45469689119171003,0.19611398963730567,0.6217616580310873,0.17928756476683944,3.3002590673575116,6.832124352331607,0.4673652849740933,0.4665725388601041,1.8240932642487064,2.396891191709846,0.7261606217616582,1.1992227979274612,2.5033678756476685,3.703886010362695,2.138341968911916,0.729274611398964,0.44948186528497364,1.3608808290155447,2.0525906735751307,9.008808290155438,20.569948186528496
1992,8906.5,26.865284974093264,58.11658031088083,28.678756476683937,20.657253886010373,3.469430051813471,7.44559585492228,0.4479766839378239,0.21891191709844568,0.6647668393782381,0.1850440414507773,3.2489637305699492,6.7779792746114,0.460461139896373,0.46121761658031135,1.710103626943006,2.2678756476683937,0.7110155440414503,1.2225388601036271,2.491191709844559,3.711917098445592,2.0637305699481865,0.7331606217616581,0.46865284974093263,1.308808290155441,1.9735751295336785,8.862435233160621,22.588082901554404
1993,9294.5,26.966666666666665,57.72051282051282,28.384615384615383,20.762307692307694,3.448205128205126,7.361282051282057,0.45867179487179516,0.2479487179487179,0.754615384615384,0.19017435897435894,3.1976923076923085,6.604358974358981,0.4736000000000004,0.47372307692307725,1.7861538461538473,2.3951282051282066,0.715582051282052,1.198205128205128,2.48974358974359,3.6853846153846166,2.079230769230769,0.7330769230769227,0.44333333333333313,1.3510256410256416,2.060000000000001,8.935384615384613,23.053846153846155
1994,9691.0,26.95533498759305,55.977667493796524,27.468982630272954,20.239454094292814,3.210173697270472,6.986600496277918,0.4466029776674938,0.26575682382133975,0.8148883374689831,0.19381885856079387,2.9426799007444178,6.167741935483874,0.4596898263027291,0.4646625310173701,1.6133995037220843,2.231265508684864,0.6895161290322575,1.1888337468982626,2.452605459057071,3.638709677419354,1.995781637717121,0.7290322580645161,0.4419354838709674,1.3047146401985112,1.9640198511166247,8.301488833746896,22.43424317617866
1995,10095.5,27.344827586206897,55.04679802955665,27.266009852216747,20.720689655172418,3.171182266009849,6.909113300492612,0.4404482758620693,0.450492610837438,1.2935960591133016,0.23232266009852212,2.7155172413793096,5.614532019704429,0.4637832512315273,0.4692980295566501,1.6923645320197045,2.29655172413793,0.7078817733990145,1.1078817733990147,2.4071428571428575,3.5160098522167487,1.9756157635467984,0.7046798029556652,0.42857142857142827,1.3366995073891628,2.106650246305418,8.482758620689664,22.891625615763548
1996,10512.5,27.289719626168225,55.68457943925234,27.700934579439252,20.86588785046732,3.1317757009345812,6.860046728971964,0.4451915887850467,0.49672897196261667,1.3728971962616818,0.23952803738317754,2.632242990654209,5.487616822429905,0.46491121495327153,0.47750000000000004,1.6605140186915903,2.2670560747663555,0.6988644859813082,1.1004672897196266,2.448130841121494,3.544626168224299,1.9280373831775708,0.6897196261682237,0.42733644859813025,1.3401869158878505,2.0941588785046745,8.415887850467284,25.22196261682243
1997,10947.0,27.573696145124718,53.87074829931973,26.961451247165535,20.657369614512476,2.9918367346938757,6.688888888888889,0.4320566893424038,0.4925170068027212,1.4018140589569175,0.23609750566893428,2.4977324263038545,5.286167800453513,0.4512585034013606,0.46567346938775517,1.5519274376417247,2.1253968253968254,0.6912335600907028,1.1090702947845807,2.4353741496598635,3.546485260770973,1.8213151927437645,0.7038548752834467,0.4233560090702947,1.2929705215419505,1.980045351473923,8.027437641723358,24.875283446712018
1998,11387.0,27.656036446469248,54.67198177676538,27.084282460136674,20.49316628701594,2.9870159453302936,6.7214123006833715,0.4288268792710705,0.3583143507972664,1.061275626423691,0.20567425968109332,2.6255125284738035,5.659453302961277,0.44574943052391824,0.45385876993166285,1.6198177676537573,2.211389521640092,0.6879134396355355,1.112528473804101,2.4036446469248287,3.5164009111617296,1.8195899772209556,0.7170842824601362,0.423462414578587,1.279726651480638,1.981776765375853,7.948063781321184,25.10250569476082
1999,11826.5,27.572727272727274,33.91136363636364,16.477272727272727,19.868181818181828,2.7375,6.3506818181818145,0.4130681818181815,0.35318181818181815,1.0475000000000003,0.19102272727272734,2.383636363636362,5.299545454545451,0.4274318181818178,0.43828863636363613,1.519772727272728,2.107272727272728,0.6655022727272724,1.063636363636363,2.3572727272727256,3.416363636363634,1.650909090909091,0.6750000000000002,0.4011363636363632,1.2277272727272712,1.9190909090909103,7.3440909090909114,25.525
2000,12266.0,27.674259681093393,55.348519362186785,27.084282460136674,20.493166287015914,3.020728929384966,6.8494305239179925,0.4285375854214122,0.3899772209567198,1.138496583143508,0.21275626423690208,2.633257403189067,5.709111617312069,0.4452369020501139,0.45380182232346244,1.543052391799544,2.075398633257403,0.7006947608200458,1.0726651480637823,2.5726651480637783,3.6453302961275624,1.8496583143507974,0.6706150341685647,0.42779043280182194,1.2605922551252844,2.0441913439635546,7.9733485193621885,24.047835990888384
