season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,toi_avg
1966,26.49079754601227,40.515337423312886,7.8343558282208585,12.920245398773005,20.754601226993866,0.0,30.337423312883434,5.828220858895706,1.834355828220859,0.17177914110429449,1.116564417177914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14204723926380364,0.0
1967,27.11464968152866,42.29936305732484,7.974522292993631,13.070063694267516,21.044585987261147,0.0,28.515923566878982,6.1528662420382165,1.6114649681528663,0.21019108280254778,1.1401273885350318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15087579617834393,0.0
1968,27.354166666666668,47.552083333333336,8.597222222222221,13.9375,22.53472222222222,-0.3333333333333333,30.760416666666668,6.659722222222222,1.7013888888888888,0.2361111111111111,1.2638888888888888,10.815972222222221,2.9305555555555554,0.1909722222222222,93.35416666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.482638888888889,0.14570937500000009,0.0
1969,27.21107266435986,48.982698961937714,9.40484429065744,15.463667820069205,24.868512110726645,-0.22491349480968859,35.49134948096886,7.26643598615917,1.8892733564013842,0.2491349480968858,1.3114186851211074,11.854671280276817,3.370242214532872,0.23875432525951557,101.41868512110727,0.0,0.0,0.0,0.0,0.0,0.0,7.4567474048442905,0.15502006920415218,0.0
1970,27.01736111111111,49.65972222222222,9.197916666666666,14.784722222222221,23.98263888888889,-0.059027777777777776,39.052083333333336,6.677083333333333,2.25,0.2708333333333333,1.2673611111111112,10.53125,3.96875,0.2847222222222222,103.73611111111111,0.0,0.0,0.0,0.0,0.0,0.0,6.697916666666667,0.14479131944444443,0.0
1971,26.881159420289855,52.69565217391305,9.881159420289855,16.107246376811595,25.98840579710145,-0.19420289855072465,43.130434782608695,7.397101449275362,2.1797101449275362,0.30434782608695654,1.3304347826086957,11.84927536231884,3.9101449275362317,0.34782608695652173,100.93913043478261,0.0,0.0,0.0,0.0,0.0,0.0,7.736231884057971,0.1504434782608695,0.0
1972,26.692307692307693,52.79585798816568,9.905325443786982,15.899408284023668,25.80473372781065,-0.39644970414201186,38.59763313609467,7.431952662721893,2.162721893491124,0.3106508875739645,1.3402366863905326,11.816568047337277,3.775147928994083,0.3076923076923077,100.11834319526628,0.0,0.0,0.0,0.0,0.0,0.0,8.215976331360947,0.15300118343195268,0.0
1973,25.955307262569832,56.59217877094972,11.418994413407821,18.681564245810055,30.100558659217878,-0.34916201117318435,41.53072625698324,8.972067039106145,2.17877094972067,0.2681564245810056,1.5,14.522346368715084,3.868715083798883,0.2905027932960894,108.42737430167598,0.0,0.0,0.0,0.0,0.0,0.0,8.82122905027933,0.16930558659217873,0.0
1974,25.59897172236504,52.544987146529564,10.254498714652957,16.60925449871465,26.86375321336761,-0.39331619537275064,38.15424164524421,7.920308483290489,2.020565552699229,0.31362467866323906,1.3367609254498716,12.58611825192802,3.673521850899743,0.3496143958868895,97.24164524421595,0.0,0.0,0.0,0.0,0.0,0.0,8.52956298200514,0.16001928020565548,0.0
1975,25.415555555555557,52.56444444444445,10.96,17.746666666666666,28.706666666666667,-0.37333333333333335,44.202222222222225,8.046666666666667,2.557777777777778,0.35555555555555557,1.3311111111111111,12.913333333333334,4.52,0.31333333333333335,98.53777777777778,0.0,0.0,0.0,0.0,0.0,0.0,9.04888888888889,0.16913955555555557,0.0
1976,25.45662100456621,54.20776255707762,11.21689497716895,18.271689497716896,29.488584474885844,-0.408675799086758,46.986301369863014,8.180365296803654,2.7077625570776256,0.3287671232876712,1.3835616438356164,13.155251141552512,4.815068493150685,0.3013698630136986,100.61187214611873,0.0,0.0,0.0,0.0,0.0,0.0,8.687214611872147,0.16661141552511424,0.0
1977,25.57238307349666,53.521158129175944,10.652561247216036,17.267260579064587,27.919821826280625,-0.3518930957683742,40.65033407572383,8.229398663697104,2.106904231625835,0.31625835189309576,1.3518930957683741,13.20935412026726,3.752783964365256,0.3051224944320713,96.27394209354121,0.0,0.0,0.0,0.0,0.0,0.0,9.276169265033408,0.16563229398663695,0.0
1978,25.46069868995633,52.67903930131004,10.364628820960698,16.82532751091703,27.189956331877728,-0.27292576419213976,42.2707423580786,8.010917030567686,2.1200873362445414,0.2336244541484716,1.2838427947598254,12.84934497816594,3.7663755458515285,0.2096069868995633,92.08078602620087,0.0,0.0,0.0,0.0,0.0,0.0,9.312227074235809,0.16010305676855902,0.0
1979,25.377232142857142,51.029017857142854,10.618303571428571,17.352678571428573,27.970982142857142,-0.3325892857142857,42.473214285714285,8.022321428571429,2.3348214285714284,0.2611607142857143,1.2700892857142858,12.935267857142858,4.167410714285714,0.25,89.22544642857143,0.0,0.0,0.0,0.0,0.0,0.0,10.073660714285714,0.17367656250000005,0.0
1980,25.336752136752136,48.516239316239314,10.087179487179487,16.324786324786324,26.41196581196581,-0.29572649572649573,42.14529914529915,7.680341880341881,2.1965811965811968,0.21025641025641026,1.1931623931623931,12.223931623931623,3.911111111111111,0.18974358974358974,84.42051282051283,0.0,0.0,0.0,0.0,0.0,0.0,9.71111111111111,0.162160341880342,0.0
1981,24.7859649122807,49.89122807017544,11.328070175438597,18.36315789473684,29.691228070175438,-0.47017543859649125,59.6,8.13859649122807,2.8175438596491227,0.3719298245614035,1.182456140350877,13.021052631578947,5.042105263157895,0.3,89.88947368421053,0.0,0.0,0.0,0.0,0.0,0.0,11.642105263157895,0.19120456140350878,0.0
1982,24.396411092985318,46.43882544861338,10.99673735725938,18.112561174551388,29.109298531810765,-0.35889070146818924,53.615008156606855,8.181076672104405,2.499184339314845,0.3164763458401305,1.128874388254486,13.278955954323001,4.531810766721044,0.30179445350734097,85.14029363784665,0.0,0.0,0.0,0.0,0.0,0.0,10.35399673735726,0.18418172920065248,0.0
1983,24.64297520661157,49.64462809917355,10.732231404958677,17.55702479338843,28.289256198347108,-0.3752066115702479,45.32561983471074,7.945454545454545,2.4677685950413224,0.31900826446280994,1.1785123966942148,12.717355371900826,4.530578512396694,0.32231404958677684,84.84462809917355,0.0,0.0,0.0,0.0,0.0,0.0,10.727272727272727,0.17485504132231408,0.0
1984,24.532258064516128,48.443548387096776,10.688709677419356,17.44516129032258,28.133870967741935,-0.4483870967741935,48.174193548387095,7.803225806451613,2.496774193548387,0.38870967741935486,1.2161290322580645,12.616129032258064,4.4564516129032254,0.3725806451612903,82.90967741935484,0.0,0.0,0.0,0.0,0.0,0.0,10.858064516129032,0.17740419354838716,0.0
