,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,name,team
72,1927,1.0140845070422535,26,1.2970521541950115,,0.9653465346534653,1.5445544554455446,1.8055555555555556,1.3902161547212741,,,,1.031104199066874,0.611764705882353,1.1512261580381473,1.2993888547354717,,,,,,,,,0.0,1.0086857492940977,John Ross Roach,TOR
73,1927,1.028169014084507,31,0.6190476190476191,,0.5792079207920792,0.7079207920792079,0.3611111111111111,0.7246871444823664,,,,1.1372472783825816,0.3058823529411765,0.4250681198910082,0.6130257114960402,,,,,,,,,0.0,0.9970763412145721,Charles Stewart,BOS
74,1927,1.0422535211267605,27,0.08843537414965988,,0.06435643564356436,0.12871287128712872,0.0,0.0739476678043231,,,,0.8440902021772938,0.0,0.10626702997275204,0.0846201135500669,,,,,,,,,0.0,0.963436355147344,Herb Stuart,DTC
75,1927,1.056338028169014,29,0.029478458049886625,,0.0,0.06435643564356436,0.0,0.04436860068259386,,,,1.5163297045101087,0.0,0.0,0.028206704516688965,,,,,,,,,0.0,0.963436355147344,Flat Walsh,MTM
76,1927,1.0704225352112675,34,0.9138321995464853,,0.9653465346534653,0.8366336633663366,1.0833333333333333,0.7838452787258249,,,,0.8390357698289268,0.9176470588235295,1.0980926430517712,0.9016743210501573,,,,,,,,,0.0,0.9934795121553555,Hal Winkler,NYR
77,1927,1.0845070422535212,26,1.2970521541950115,,0.9653465346534653,1.6732673267326732,1.0833333333333333,1.5972696245733788,,,,1.20800933125972,0.611764705882353,0.726158038147139,1.275413155896286,,,,,,,,,0.0,0.9900753703671681,Roy Worters*,PTP
78,1928,0.9176470588235294,35,1.493212669683258,,1.9672131147540985,1.1475409836065575,1.2162162162162162,1.3636363636363635,,,,0.9265988372093021,0.9183673469387755,1.6598360655737705,1.474780701754386,,,,,,0.0,0.0,0.0,0.0,1.0505032917006987,Clint Benedict*,MTM
79,1928,0.9294117647058824,27,1.493212669683258,,1.557377049180328,1.3114754098360657,1.8243243243243243,1.4174641148325358,,,,0.9484011627906975,1.683673469387755,1.639344262295082,1.4967105263157894,,,,,,0.0,0.0,0.0,0.0,1.0661226893085882,Lorne Chabot,NYR
80,1928,0.9411764705882353,25,1.493212669683258,,1.639344262295082,1.1475409836065575,2.0270270270270268,1.0227272727272727,,,,0.6758720930232557,2.295918367346939,2.3565573770491803,1.513157894736842,,,,,,0.0,0.0,0.0,0.0,1.0778415332784237,Alec Connell*,OTS
81,1928,0.9529411764705882,30,0.5429864253393666,,0.24590163934426232,0.9016393442622951,0.4054054054054054,0.9150717703349283,,,,1.7005813953488371,0.30612244897959184,-0.10245901639344263,0.5372807017543859,,,,,,0.0,0.0,0.0,0.0,1.0524621600475625,Jake Forbes,NYA
82,1928,0.9647058823529412,23,1.3574660633484164,,0.49180327868852464,2.6229508196721314,0.4054054054054054,2.0454545454545454,,,,1.5425145348837208,0.45918367346938777,0.10245901639344263,1.3267543859649122,,,,,,0.0,0.0,0.0,0.0,1.0395748682918782,Charlie Gardiner*,CBH
83,1928,0.9764705882352941,32,1.493212669683258,,2.1311475409836067,0.9016393442622951,1.4189189189189189,0.8612440191387559,,,,0.5723110465116279,1.989795918367347,2.581967213114754,1.4967105263157894,,,,,,0.0,0.0,0.0,0.0,1.0661226893085882,George Hainsworth*,MTL
84,1928,0.9882352941176471,24,0.03393665158371041,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.020491803278688527,0.010416666666666666,,,,,,15.0,15.0,15.0,15.0,0.32647805781067246,Normie Himes,NYA
85,1928,1.0,39,1.493212669683258,,1.557377049180328,1.557377049180328,1.2162162162162162,1.4174641148325358,,,,0.9429505813953487,1.683673469387755,1.6598360655737705,1.5021929824561404,,,,,,0.0,0.0,0.0,0.0,1.0700404260023162,Hap Holmes*,DTC
86,1928,1.011764705882353,29,0.03393665158371041,,0.0,0.0,0.2027027027027027,0.0,,,,0.0,0.15306122448979592,0.10245901639344263,0.03837719298245614,,,,,,0.0,0.0,0.0,0.0,1.2028138971972144,Joe Ironstone,TOR
87,1928,1.0235294117647058,42,0.13574660633484165,,0.0819672131147541,0.1639344262295082,0.2027027027027027,0.3588516746411483,,,,2.6162790697674416,0.15306122448979592,-0.2459016393442623,0.13706140350877194,,,,,,0.0,0.0,0.0,0.0,1.07394097964037,Hugh Lehman*,CBH
88,1928,1.035294117647059,27,0.9502262443438915,,0.6557377049180328,1.3114754098360657,0.8108108108108107,1.381578947368421,,,,1.4607558139534882,0.7653061224489796,0.18442622950819673,0.9435307017543859,,,,,,0.0,0.0,0.0,0.0,1.0561393339618512,Joe Miller,NYA
89,1928,1.0470588235294118,27,1.4592760180995477,,1.4754098360655739,1.4754098360655739,1.4189189189189189,1.5789473684210527,,,,1.0683139534883719,0.6122448979591837,1.290983606557377,1.474780701754386,,,,,,0.0,0.0,0.0,0.0,1.0749375968694763,John Ross Roach,TOR
90,1928,1.0588235294117647,30,0.03393665158371041,,0.0,0.0,0.0,0.017942583732057416,,,,0.8175872093023255,0.0,0.020491803278688527,0.021929824561403508,,,,,,0.0,0.0,0.0,0.0,0.6873222269698368,Flat Walsh,MTM
91,1928,1.0705882352941176,35,1.493212669683258,,1.639344262295082,1.0655737704918034,2.22972972972973,1.255980861244019,,,,0.8230377906976744,2.295918367346939,1.9877049180327868,1.5241228070175439,,,,,,0.0,0.0,0.0,0.0,1.0856598236102057,Hal Winkler,BOS
92,1928,1.0823529411764705,27,1.493212669683258,,1.557377049180328,1.3934426229508197,1.6216216216216215,1.3636363636363635,,,,0.9047965116279069,1.683673469387755,1.7418032786885247,1.5021929824561404,,,,,,0.0,0.0,0.0,0.0,1.0700404260023162,Roy Worters*,PTP
93,1929,0.93,36,1.247191011235955,,1.2138728323699421,1.3872832369942196,1.1170212765957448,1.3317757009345794,,,,0.9982134881643593,1.3865546218487395,1.1050477489768076,1.2490948587979724,,,,,,0.0,,0.0,0.0,1.0993808812449817,Clint Benedict*,MTM
94,1929,0.94,28,1.449438202247191,,1.7341040462427746,1.3872832369942196,0.7978723404255319,1.4953271028037385,,,,1.0183117463153195,1.2605042016806722,1.16643929058663,1.376176683562636,,,,,,0.0,,0.0,0.5084745762711864,1.042220574173398,Lorne Chabot,TOR
95,1929,0.95,26,1.4831460674157302,,1.2138728323699421,1.4739884393063585,2.074468085106383,1.5654205607476637,,,,0.9580169718624387,0.8823529411764706,1.4733969986357434,1.5314989138305577,,,,,,0.0,,0.0,0.0,1.1334966709544758,Alec Connell*,OTS
96,1929,0.96,31,1.4831460674157302,,1.647398843930636,1.3872832369942196,1.4361702127659575,1.47196261682243,,,,0.9178204555605184,1.2605042016806722,1.5347885402455659,1.493482983345402,,,,,,0.0,,0.0,0.0,1.1053586608830372,Dolly Dolson,DTC
97,1929,0.97,31,0.033707865168539325,,0.08670520231213873,0.0,0.0,0.07009345794392524,,,,2.0098258150960255,0.0,-0.04092769440654843,0.03258508327299059,,,,,,0.0,,0.0,0.0,1.0611443144477157,Jake Forbes,NYA
98,1929,0.98,24,1.4831460674157302,,0.6069364161849711,2.514450867052023,1.2765957446808511,1.985981308411215,,,,1.2393925859758823,0.6302521008403361,0.6548431105047748,1.497827661115134,,,,,,0.0,,0.0,0.5084745762711864,1.1085774653035285,Charlie Gardiner*,CBH
99,1929,0.99,20,0.16853932584269662,,0.08670520231213873,0.17341040462427745,0.0,0.11682242990654207,,,,1.0786065207682003,0.12605042016806722,0.08185538881309685,0.10101375814627082,,,,,,0.0,,0.0,0.0,0.6579094749575838,Benny Grant,TOR
100,1929,1.0,33,1.4831460674157302,,1.907514450867052,0.6069364161849711,2.393617021276596,1.0046728971962617,,,,0.6163465832961145,2.773109243697479,2.414733969986357,1.5206372194062274,,,,,,0.0,,0.0,0.0,1.1254496599032473,George Hainsworth*,MTL
