,season,age,gp,goals,assists,points,plusmin,plm,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,toi,hits,faceoff_wins,faceoff_losses,block,faceoff_pct,shot_pct,gpg,ppg,toi_avg
59,1977,25.571748878923767,53.582959641255606,10.623318385650224,17.286995515695068,27.91031390134529,-0.4080717488789238,40.60313901345292,8.199551569506726,2.10762331838565,0.31614349775784756,1.34304932735426,12.887892376681615,3.8004484304932737,0.3071748878923767,96.36322869955157,0.0,0.0,0.0,0.0,0.0,0.0,0.09221050890275126,0.16511386431936584,0.43800109490084266,0.0
60,1978,25.460526315789473,52.594298245614034,10.337719298245615,16.81359649122807,27.151315789473685,-0.31140350877192985,42.20175438596491,7.973684210526316,2.125,0.23903508771929824,1.269736842105263,12.048245614035087,3.6600877192982457,0.21929824561403508,92.00219298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.09194933969039583,0.15981829545194182,0.42500684702045427,0.0
61,1979,25.36322869955157,50.99551569506726,10.632286995515695,17.387892376681613,28.02017937219731,-0.32062780269058294,42.43497757847533,8.02914798206278,2.3408071748878925,0.2623318385650224,1.2690582959641257,12.475336322869955,4.208520179372197,0.2556053811659193,89.26681614349776,0.0,0.0,0.0,0.0,0.0,0.0,0.10052103538092015,0.17384460862108364,0.4578242455651367,0.0
62,1980,25.33732876712329,48.590753424657535,10.104452054794521,16.34931506849315,26.453767123287673,-0.2910958904109589,42.21404109589041,7.688356164383562,2.2054794520547945,0.2106164383561644,1.1952054794520548,11.547945205479452,3.7842465753424657,0.2089041095890411,84.56849315068493,0.0,0.0,0.0,0.0,0.0,0.0,0.09686390217686447,0.16243813180246097,0.43642375532502437,0.0
63,1981,24.78421052631579,49.89122807017544,11.328070175438597,18.36315789473684,29.691228070175438,-0.5,59.47543859649123,8.121052631578948,2.831578947368421,0.37543859649122807,1.1842105263157894,12.364912280701754,4.975438596491228,0.3140350877192982,89.93157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.11569260718227002,0.19120584739586363,0.49768287379279164,0.0
64,1982,24.39477977161501,46.44045676998369,10.99673735725938,18.114192495921696,29.110929853181077,-0.36867862969004894,53.6231647634584,8.145187601957586,2.535073409461664,0.3164763458401305,1.128874388254486,12.64437194127243,4.4616639477977165,0.29853181076672103,85.2773246329527,0.0,0.0,0.0,0.0,0.0,0.0,0.10321829664750436,0.18417523581273595,0.5057569389006811,0.0
65,1983,24.641322314049585,49.64628099173554,10.732231404958677,17.55702479338843,28.289256198347108,-0.4115702479338843,45.33057851239669,7.943801652892562,2.4710743801652892,0.31735537190082647,1.1785123966942148,12.442975206611571,4.4958677685950414,0.3338842975206612,85.11404958677686,0.0,0.0,0.0,0.0,0.0,0.0,0.10694463180945944,0.17483778762334434,0.46626852943450686,0.0
66,1984,24.532258064516128,48.446774193548386,10.688709677419356,17.44516129032258,28.133870967741935,-0.432258064516129,48.170967741935485,7.785483870967742,2.5129032258064514,0.3903225806451613,1.2161290322580645,11.935483870967742,4.372580645161291,0.3741935483870968,83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1081483233546631,0.17739816825187765,0.4734535141278716,0.0
67,1985,24.627906976744185,49.92358803986711,10.820598006644518,17.95016611295681,28.770764119601328,-0.40863787375415284,50.79568106312292,7.943521594684386,2.490033222591362,0.38704318936877075,1.2225913621262459,12.55813953488372,4.5,0.39867109634551495,85.2624584717608,0.0,0.0,0.0,0.0,0.0,0.0,0.1044119266025717,0.17741056515567977,0.4773767194845081,0.0
68,1986,24.57328990228013,48.840390879478825,10.827361563517915,17.76872964169381,28.596091205211728,-0.3273615635179153,57.39739413680782,7.62214983713355,2.8192182410423454,0.38599348534201955,1.236156351791531,11.711726384364821,4.912052117263844,0.36807817589576547,84.68403908794788,0.0,0.0,0.0,0.0,0.0,0.0,0.10541385525481264,0.17989388548963584,0.4714501604360507,0.0
69,1987,24.866883116883116,48.78733766233766,9.965909090909092,16.353896103896105,26.319805194805195,-0.3944805194805195,59.493506493506494,7.137987012987013,2.469155844155844,0.3587662337662338,1.2094155844155845,10.956168831168831,4.327922077922078,0.3409090909090909,81.47727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.10265427211260257,0.1639662131261391,0.4363752059901678,0.0
70,1988,24.822122571001493,44.97608370702541,9.295964125560538,15.360239162929746,24.656203288490286,-0.42451420029895365,64.52765321375186,6.121076233183857,2.7757847533632285,0.3991031390134529,1.1106128550074739,9.84304932735426,5.142002989536622,0.375186846038864,76.21674140508222,0.0,0.0,0.0,0.0,0.0,0.0,0.10220873531185214,0.1635033303329244,0.4391710074155372,0.0
71,1989,25.053030303030305,45.57878787878788,9.492424242424242,15.756060606060606,25.24848484848485,-0.46060606060606063,62.68939393939394,6.41969696969697,2.68030303030303,0.3924242424242424,1.1242424242424243,10.389393939393939,4.987878787878788,0.3939393939393939,77.01969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.09355262735549164,0.15754861568445788,0.43381979252212666,0.0
72,1990,25.327217125382262,46.15596330275229,9.457186544342507,15.707951070336392,25.165137614678898,-0.4709480122324159,60.379204892966364,6.665137614678899,2.444954128440367,0.3470948012232416,1.1314984709480123,10.756880733944953,4.607033639143731,0.3440366972477064,77.70489296636086,0.0,0.0,0.0,0.0,0.0,0.0,0.09704186718867279,0.15656453558050498,0.42258753699989215,0.0
73,1991,25.32321699544765,45.880121396054626,8.808801213960546,14.688922610015174,23.497723823975722,-0.3884673748103187,59.68588770864947,6.197268588770865,2.265553869499241,0.34597875569044007,1.1047040971168438,10.098634294385432,4.241274658573596,0.3490136570561457,75.99696509863429,0.0,0.0,0.0,0.0,0.0,0.0,0.09768832418555182,0.15206126088611283,0.4220643698384519,0.0
74,1992,25.699576868829336,44.65162200282087,8.6361071932299,14.411847672778562,23.047954866008464,-0.44710860366713684,60.56981664315938,5.887165021156559,2.397743300423131,0.3511988716502116,1.076163610719323,9.576868829337094,4.458392101551481,0.3765867418899859,75.72496473906911,0.0,0.0,0.0,0.0,0.0,0.0,0.08966482621818939,0.14725593948460486,0.3976919246997995,0.0
75,1993,25.834733893557424,50.700280112044815,10.238095238095237,17.11484593837535,27.352941176470587,-0.5084033613445378,62.712885154061624,6.88655462184874,2.914565826330532,0.4369747899159664,1.2703081232492996,11.169467787114845,5.512605042016807,0.4327731092436975,87.45098039215686,0.0,0.0,0.0,0.0,0.0,0.0,0.09646069144668036,0.1630159645041158,0.44771628966321114,0.0
76,1994,25.943037974683545,49.7,8.963291139240507,14.868354430379746,23.831645569620253,-0.4873417721518987,56.49240506329114,6.077215189873418,2.4974683544303797,0.3886075949367089,1.2050632911392405,9.89746835443038,4.564556962025317,0.40632911392405063,83.75569620253165,0.0,0.0,0.0,0.0,0.0,0.0,0.0874074654617861,0.14709884953177566,0.3883164685950765,0.0
77,1995,26.18046132971506,30.457259158751697,5.056987788331072,8.373134328358208,13.430122116689281,-0.26322930800542743,32.61736770691994,3.5522388059701493,1.3093622795115332,0.19538670284938942,0.7449118046132972,5.721845318860244,2.4491180461329716,0.2021709633649932,49.75305291723202,0.0,0.0,0.0,0.0,0.0,0.0,0.08791196279471898,0.14181035063103098,0.37768185305052754,0.0
78,1996,26.041184041184042,49.33204633204633,8.622908622908623,14.303732303732303,22.92664092664093,-0.510939510939511,53.90604890604891,5.7528957528957525,2.48005148005148,0.38996138996138996,1.1956241956241955,9.28957528957529,4.625482625482626,0.3886743886743887,83.01544401544402,0.0,0.0,0.0,0.0,0.0,0.0,0.08441380873404228,0.14027544282164112,0.3777971806753584,0.0
79,1997,26.336801040312093,49.85825747724317,8.083224967490247,13.322496749024708,21.405721716514954,-0.4928478543563069,50.70351105331599,5.88556566970091,1.8504551365409623,0.3472041612483745,1.1976592977893368,9.537061118335501,3.4330299089726917,0.35240572171651496,82.62938881664499,0.0,0.0,0.0,0.0,0.0,0.0,0.07732422115849259,0.1315051070956006,0.34646204331094377,0.0
80,1998,26.363517060367453,50.34514435695538,7.380577427821522,12.20734908136483,19.587926509186353,-0.45931758530183725,52.120734908136484,5.082677165354331,1.9566929133858268,0.34120734908136485,1.1824146981627297,8.198162729658792,3.652230971128609,0.35826771653543305,76.49606299212599,0.0,0.0,0.0,0.0,0.0,0.0,0.07940988868429232,0.11993453676756774,0.31857825817465035,0.0
81,1999,26.69372693726937,48.97047970479705,7.169741697416974,12.018450184501845,19.18819188191882,-0.36162361623616235,42.85239852398524,5.013530135301353,1.8856088560885609,0.27060270602706027,1.1611316113161132,8.21279212792128,3.5399753997539976,0.2656826568265683,75.88560885608857,796.939729397294,0.0,0.0,0.0,0.0,0.0,0.07346256384977698,0.1178974873026624,0.31620223621296106,14.488924306752875
82,2000,26.655131264916466,49.27804295942721,7.523866348448688,12.647971360381861,20.171837708830548,-0.3448687350835322,37.599045346062056,5.48090692124105,1.7852028639618138,0.2577565632458234,1.194510739856802,9.021479713603819,3.360381861575179,0.26610978520286394,76.64677804295943,806.1622911694511,0.0,0.0,0.0,0.0,0.0,0.07797901615427541,0.12099335196930537,0.3320656430116473,14.812203725783675
83,2001,26.810872027180068,50.09060022650057,7.67836919592299,13.026047565118914,20.7044167610419,-0.43827859569648925,41.49830124575311,5.251415628539071,2.1245753114382784,0.3023782559456399,1.2208380520951303,8.665911664779163,4.041902604756512,0.318233295583239,77.17440543601359,816.5798414496036,0.0,0.0,0.0,0.0,0.0,0.07775288344019317,0.12201489111386912,0.32903379586607007,14.725870746564038
