,season,team,name,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,mean_mtrc,year_mean,final_mean_mtrc
973,1976,PHI,Jerome Mrazek,24,0.017214188137567317,,0.0,-0.0,-0.0,0.010939112487100102,0.002408981409935912,0.001353525550987052,0.9868341873319931,-0.07659499736388402,0.0,0.0,0.003688111060853833,,,,-0.0,0.0,,0.0,0.0,-0.0,0.07405320691709247,0.07816413912082483,0.5922346484050667,13.2
976,1976,PHI,Bernie Parent*,30,0.18935606951324047,,0.1269168777342851,-0.04088518607958355,-0.07048232826965373,0.2625386996904025,0.31196309258670063,0.31807850448195724,1.790117215820236,-0.01884798364451596,0.0,0.11012136372900411,0.3774166985607089,,,,-0.0,0.0,,0.0,0.0,-0.029347789766461997,0.6889169839497113,0.2506849033463914,0.5922346484050667,42.33
989,1976,PHI,Wayne Stephenson,31,1.1361364170794426,,0.8461125182285671,-0.20442593039791776,-0.4933762978875761,1.7940144478844169,2.136766510613154,2.1791761370891543,1.7920908841948997,-0.020692679916106883,0.0669345579793341,0.6226092487755231,2.3425652088189928,,,,-0.47271904750927835,0.03600085536708052,,0.0,0.0,-0.16141284371554096,0.7126633789677922,0.550029861510851,0.5922346484050667,92.87
1003,1977,MTL,Ken Dryden*,29,0.9577226128950269,,0.8658365579862842,-0.12245348977377746,-0.284424262751877,1.3134929040457528,1.7888896610836982,1.847266295583416,1.7983177736856386,-0.018468813147493757,0.5577879831611177,0.6074616911585137,2.0121838121073012,,,,-0.42741166679957143,0.05753819120217085,,3.117647058823529,3.117647058823529,-0.0,0.7419732905835089,0.5533630789512547,0.6041288370095631,91.6
1017,1977,MTL,Michel Larocque,24,0.4446569274155481,,0.40124133174974147,-0.04081782992459249,-0.1422121313759385,0.5950010590976488,0.7268515301040146,0.7430421890443739,1.7787708413629686,-0.018037298821617732,0.223115193264447,0.28886290208936316,0.9363566808096264,,,,-0.48010625585705285,0.01595037460952741,,0.0,0.0,-0.0,0.74366068923006,0.33424624245384515,0.6041288370095631,55.33
1057,1978,MTL,Ken Dryden*,30,0.9016328462238754,,0.8066128777092234,-0.1474787069299264,-0.2130488559059988,1.189102564102564,1.684138029306291,1.7460389558340237,1.803346963626365,-0.017730394056195614,0.32468255736244156,0.5814816326096981,1.8855066247812025,,,,-0.37140819625368454,0.4752295497624503,,2.717948717948718,2.717948717948718,-0.0,0.750431894843245,0.5509037292435413,0.6396607278638953,86.12
1071,1978,MTL,Michel Larocque,25,0.5201727958983897,,0.479607657016295,-0.06320516011282559,-0.12174220337485646,0.872008547008547,0.9264017859263304,0.9332033024287281,1.7505374538455494,-0.023092757136605996,0.0649365114724883,0.2631522716919802,1.0616342286158091,,,,-0.4917235274344556,0.05218718459985727,,5.435897435897436,5.435897435897436,-0.0,0.7323891821781277,0.3551734251732312,0.6396607278638953,55.53
1138,1979,NYI,Glenn Resch,30,0.7420469842181745,,0.5525810275064373,-0.14377670138740048,-0.34144932104115777,1.1310285958173285,1.5474639133921408,1.6028735305809532,1.8118181992557645,-0.019779117466692676,0.15786452353616534,0.43217869927641217,1.5591048037614936,,,,-0.3782070731000228,0.030519214573524453,,2.127659574468085,2.127659574468085,-0.04372668643023542,0.7449278256527032,0.43711922666661973,0.5799976572594209,75.37
1142,1979,NYI,Billy Smith*,28,0.6730193577792744,,0.531327911063882,-0.1643162301570291,-0.1365797284164631,1.1523687580025608,1.345729751403368,1.3714577772729857,1.7820837649134929,-0.022706426851763196,0.07893226176808267,0.33896368570699,1.3847796997188702,,,,-0.4455590176246844,0.01416879754220505,,2.127659574468085,2.127659574468085,-0.28422346179653024,0.7294920433842265,0.3923402695360949,0.5799976572594209,67.65
1161,1980,EDM,Jim Corsi,25,0.4959634959634961,,0.1912707403211835,-0.32348521909287853,-0.11049973309243216,0.9889483681574855,0.9226320915510104,0.913802221047065,1.726912492310762,-0.03000775601620494,0.0,0.15676284970129165,0.9332484684541332,,,,-0.5843776285480836,-0.010589799572177505,0.0,4.928571428571427,4.813953488372093,-0.053235783172597285,0.6553362254663602,0.295767383119935,0.6820826667505602,43.36
